,country,show_id
601,India,80204433
602,Netherlands,80089199
603,United States,80043049
604,United States,80044545
605,United States,80070182
606,Turkey,80176234
607,United Kingdom,80992769
608,United States,81192594
609,India,81006356
610,India,81025935
611,India,81020508
612,United Kingdom,80241004
613,India,80201824
614,India,80203782
615,India,80201829
616,New Zealand,80126016
617,India,80202089
618,India,80203789
619,Venezuela,80193423
620,India,80201825
621,Malaysia,80202376
622,India,80028360
623,India,80203783
624,United States,80142617
625,India,80201823
626,Australia,80190841
627,Australia,80115858
628,France,80183199
629,India,80158547
630,India,80206827
631,India,80202090
632,India,80203790
633,India,80158391
634,India,80201822
635,Canada,80211540
636,France,80123743
637,Japan,70258995
638,Japan,70208801
639,Japan,70260383
640,France,80123744
641,Japan,70204970
642,Japan,70105699
643,Japan,70124999
644,United States,80088507
645,United Kingdom,80080727
646,Canada,80990869
647,China,80187205
648,United States,80097472
649,Italy,80075009
650,United States,70293417
651,United States,70280748
652,France,81034012
653,South Korea,81191500
654,India,81019031
655,Germany,80148070
656,Turkey,80155812
657,Mexico,80183198
658,United Kingdom,80158844
659,United States,80164456
660,United States,80174434
661,United States,80075476
662,United Kingdom,80158148
663,Turkey,80119451
664,Spain,80239565
665,United States,80216844
666,Indonesia,81021082
667,United States,80191047
668,United States,80189221
669,United States,80240972
670,Saudi Arabia,80103282
671,Spain,80134526
672,United States,80127559
673,United States,80005501
674,Turkey,81132441
675,United States,81078819
676,United States,80223997
677,Nigeria,81191666
678,Japan,81133621
679,Spain,81038598
680,Indonesia,81016322
681,Egypt,80147323
682,Japan,81019771
683,Norway,80210932
684,Brazil,81003880
685,United States,81015317
686,United States,80205204
687,United States,70245168
688,United Kingdom,70235731
689,United States,80003481
690,Denmark,81168338
691,Canada,81103033
692,United States,60002273
693,United States,70297962
694,United States,269880
695,United States,60029167
696,United States,60020891
697,United States,347365
698,United States,60003242
699,United States,60027726
700,South Korea,81166946
701,South Korea,81167065
702,India,81113888
703,United States,70023961
704,United States,60027716
705,United States,70287957
706,India,81113890
707,Poland,81168345
708,United States,60020892
709,Netherlands,81164752
710,India,81113886
711,United States,60028097
712,United States,70065112
713,United States,70083108
714,United States,70184050
715,"Poland,",81168347
716,United States,81003460
717,India,81113887
718,Poland,81168348
719,United States,70095135
720,India,81191254
721,Poland,81168340
722,United States,60023597
723,South Korea,81036448
724,United States,81002876
725,United States,70058017
726,United States,70058024
727,United States,70011211
728,United States,70271599
729,United States,70020699
730,Germany,60003540
731,United States,1181550
732,United Kingdom,70170051
733,South Korea,80987077
734,United States,70021630
735,Peru,81043753
736,United Kingdom,60001761
737,United States,70041963
738,United States,70058025
739,United States,70128696
740,United States,70077542
741,Poland,81168342
742,Nigeria,81165772
743,United States,510854
744,United States,60000921
745,South Korea,80188730
746,South Korea,81167083
747,Poland,81168343
748,United States,70044605
749,United States,18021979
750,Poland,81168344
751,United States,70020750
752,United States,70105596
753,United Kingdom,60037022
754,United States,60034571
755,South Korea,81167047
756,United States,70053456
757,United States,80173150
758,Poland,81168341
759,Poland,81168346
760,India,80137461
761,Canada,81012857
762,India,70123116
763,India,80190101
764,India,81024712
765,United States,70112494
766,United States,80215922
767,United Kingdom,81012415
768,India,70113306
769,India,70113305
770,India,80032472
771,India,70181653
772,United States,80048200
773,India,80032474
774,India,80032476
775,India,70127589
776,United States,80225696
777,India,80104130
778,India,80032473
779,India,70090035
780,India,81024713
781,India,70117268
782,United States,70211216
783,United States,70140322
784,India,81024696
785,India,70303428
786,India,70125882
787,India,70101039
788,India,70123121
789,India,80152182
790,India,70229042
791,India,70042756
792,India,80187618
793,India,81024704
794,Australia,80221498
795,India,70229047
796,India,70229555
797,India,70213515
798,United States,81018563
799,United States,81018565
800,United States,70114948
801,India,80190103
802,India,81024729
803,United Kingdom,81012427
804,India,80032477
805,India,81024711
806,India,81025908
807,India,70303495
808,India,70303429
809,India,80084768
810,India,70096752
811,India,70229046
812,India,80084767
813,India,81024701
814,United States,81031355
815,India,70229048
